ID No,Prog Code,Gender,state_of_origin,residence_type,parental_education,internet_access,has_scholarship,waec_score,jamb_score,attendance_rate,study_hours_per_week,assignment_score_avg,class_participation,CGPA400,CGPA300,CGPA200,CGPA100
S1000,CHM,Female,Anambra,Off-Campus,Tertiary,Yes,Yes,340,235,95,9,73,Medium,2.21,2.02,1.93,1.96
S1001,BIO,Female,Lagos,Off-Campus,Tertiary,No,No,392,230,80,17,72,Low,2.56,2.53,2.52,2.59
S1002,PHY,Male,Lagos,On-Campus,Secondary,Yes,No,342,241,91,17,65,Low,2.86,2.80,2.71,2.55
S1003,BIO,Male,Lagos,Off-Campus,Tertiary,Yes,Yes,359,271,83,30,63,Low,3.21,3.09,3.06,3.07
S1004,BIO,Male,Rivers,Off-Campus,Primary,No,Yes,213,258,88,11,80,Low,2.96,2.84,2.73,2.68
S1005,MTH,Female,Kaduna,Off-Campus,Primary,Yes,No,220,244,74,25,69,Low,2.45,2.37,2.51,2.36
S1006,PHY,Male,Rivers,On-Campus,Primary,Yes,No,230,243,86,12,78,High,3.07,3.04,3.03,3.03
S1007,PHY,Female,Kaduna,Off-Campus,None,Yes,No,354,248,55,16,66,High,3.19,3.17,2.95,2.90
S1008,PHY,Male,Lagos,On-Campus,Secondary,Yes,No,261,292,83,17,77,High,2.94,2.81,2.83,2.78
S1009,BIO,Female,Anambra,On-Campus,Tertiary,Yes,No,237,196,69,16,88,Medium,2.32,2.21,2.22,2.10
S1010,CHM,Male,Kaduna,Off-Campus,None,Yes,No,254,244,97,15,81,Low,3.43,3.40,3.40,3.29
S1011,PHY,Female,Oyo,On-Campus,Primary,Yes,No,364,202,93,29,71,High,3.43,3.27,3.35,3.32
S1012,STA,Male,Oyo,Off-Campus,Secondary,No,No,202,247,90,22,78,Medium,2.35,2.31,2.48,2.42
S1013,BIO,Male,Kano,Off-Campus,Tertiary,Yes,No,355,202,100,24,73,High,2.08,2.12,2.09,2.08
S1014,MTH,Female,Kaduna,On-Campus,Secondary,Yes,No,307,217,76,7,75,High,2.72,2.74,2.68,2.78
S1015,CHM,Male,Anambra,Off-Campus,Secondary,Yes,No,329,221,100,10,72,Low,2.31,2.36,2.31,2.24
S1016,STA,Male,Rivers,Off-Campus,None,Yes,No,196,259,94,14,73,Medium,3.38,3.36,3.33,3.09
S1017,STA,Female,Lagos,Off-Campus,Primary,Yes,No,248,258,83,10,77,Low,2.44,2.26,2.21,2.25
S1018,MTH,Female,Kano,Off-Campus,Tertiary,No,No,287,193,96,18,65,Low,3.24,3.27,3.12,3.14
S1019,CHM,Male,Oyo,Off-Campus,Tertiary,Yes,No,318,232,74,5,65,High,1.77,1.70,1.67,1.71
S1020,BIO,Male,Rivers,Off-Campus,None,Yes,No,273,209,77,26,61,Low,2.38,2.39,2.40,2.28
S1021,CSC,Male,Rivers,Off-Campus,Tertiary,Yes,No,194,192,79,21,59,Medium,2.44,2.41,2.39,2.30
S1022,CHM,Female,Lagos,On-Campus,Secondary,No,No,270,223,80,16,63,Low,2.37,2.47,2.37,2.33
S1023,MTH,Male,Kaduna,Off-Campus,Tertiary,Yes,No,342,221,74,20,77,Low,2.36,2.34,2.14,2.19
S1024,STA,Male,Oyo,On-Campus,Secondary,Yes,Yes,212,303,97,21,66,Low,2.52,2.49,2.50,2.44
S1025,BIO,Male,Anambra,Off-Campus,Secondary,Yes,No,391,243,82,12,80,High,2.80,2.70,2.64,2.74
S1026,CHM,Male,Rivers,Off-Campus,Secondary,No,No,304,189,89,11,75,Medium,2.36,2.29,2.20,2.14
S1027,CSC,Female,Lagos,On-Campus,Secondary,Yes,No,195,213,79,15,55,High,2.52,2.59,2.64,2.50
S1028,CSC,Male,Anambra,Off-Campus,Primary,No,No,341,261,67,19,82,High,2.66,2.51,2.45,2.53
S1029,PHY,Female,Kaduna,Off-Campus,None,Yes,No,245,293,88,16,83,High,3.13,3.06,3.16,3.26
S1030,PHY,Male,Oyo,On-Campus,Secondary,Yes,No,347,182,66,7,65,High,2.27,2.20,2.33,2.12
S1031,MTH,Male,Kaduna,Off-Campus,Tertiary,Yes,No,335,264,84,11,79,High,3.46,3.41,3.32,3.33
S1032,CHM,Male,Rivers,Off-Campus,Primary,Yes,No,226,286,71,15,66,Medium,2.72,2.72,2.71,2.54
S1033,CHM,Male,Anambra,On-Campus,Secondary,Yes,Yes,346,242,100,15,76,Low,3.28,3.21,3.14,3.11
S1034,STA,Female,Anambra,Off-Campus,Tertiary,Yes,No,377,204,94,9,62,High,1.64,1.54,1.50,1.46
S1035,STA,Female,Anambra,On-Campus,None,Yes,No,380,246,86,8,57,High,2.03,2.15,2.20,2.11
S1036,STA,Female,Rivers,Off-Campus,Secondary,Yes,No,327,160,98,18,71,Medium,2.61,2.62,2.57,2.61
S1037,PHY,Female,Rivers,Off-Campus,Secondary,Yes,Yes,303,230,77,22,74,Medium,2.50,2.48,2.55,2.49
S1038,CHM,Male,Kaduna,Off-Campus,Tertiary,No,Yes,180,240,90,26,71,Low,3.27,3.19,3.00,2.99
S1039,CHM,Female,Kano,Off-Campus,Primary,No,No,379,258,87,13,63,Medium,3.18,3.01,3.09,3.17
S1040,CSC,Male,Kaduna,Off-Campus,Secondary,Yes,No,266,200,88,17,71,Low,3.04,3.07,3.04,2.95
S1041,PHY,Female,Oyo,Off-Campus,Tertiary,Yes,No,307,233,98,18,78,High,2.19,2.19,2.25,2.22
S1042,BIO,Male,Lagos,On-Campus,Tertiary,Yes,No,370,202,92,16,75,High,2.94,2.94,2.84,2.80
S1043,PHY,Male,Anambra,Off-Campus,Secondary,Yes,Yes,246,238,88,15,77,Low,2.40,2.43,2.42,2.49
S1044,BIO,Male,Kano,On-Campus,Secondary,Yes,No,183,203,68,17,68,Medium,3.23,3.21,3.22,3.01
S1045,CSC,Male,Lagos,Off-Campus,Secondary,Yes,No,365,218,75,2,87,Low,3.03,2.90,2.76,2.63
S1046,MTH,Male,Kano,On-Campus,Tertiary,Yes,No,332,200,84,18,63,Medium,3.02,3.07,3.02,2.87
S1047,CHM,Male,Kaduna,On-Campus,Secondary,Yes,No,226,250,86,16,80,High,1.71,1.62,1.52,1.50
S1048,CSC,Female,Rivers,On-Campus,None,Yes,Yes,217,256,74,14,87,Medium,2.53,2.65,2.70,2.82
S1049,CHM,Male,Anambra,Off-Campus,Tertiary,Yes,Yes,322,223,100,25,80,Low,3.25,3.26,3.35,3.10
S1050,STA,Male,Kaduna,On-Campus,Secondary,Yes,No,370,231,100,12,73,Low,2.24,2.22,2.16,2.12
S1051,MTH,Female,Lagos,Off-Campus,Secondary,Yes,Yes,200,187,91,13,70,High,3.36,3.15,3.13,3.15
S1052,MTH,Female,Lagos,On-Campus,Primary,Yes,Yes,236,221,86,25,85,Medium,1.17,1.14,1.03,1.00
S1053,CSC,Male,Lagos,On-Campus,Secondary,Yes,No,296,228,83,11,61,Medium,2.19,2.36,2.32,2.15
S1054,MTH,Male,Lagos,Off-Campus,Secondary,Yes,No,360,309,75,12,65,Medium,3.23,3.38,3.31,3.26
S1055,BIO,Female,Lagos,Off-Campus,Secondary,No,No,225,197,86,14,71,High,2.28,2.23,2.34,2.16
S1056,MTH,Male,Kano,On-Campus,Primary,Yes,No,321,274,88,19,87,Medium,3.12,3.01,2.77,2.61
S1057,CHM,Female,Kaduna,Off-Campus,Secondary,Yes,No,383,260,73,16,79,Low,1.64,1.55,1.52,1.58
S1058,CHM,Female,Anambra,Off-Campus,Tertiary,Yes,No,324,238,88,9,65,Medium,3.32,3.25,3.13,3.15
S1059,CHM,Male,Rivers,Off-Campus,None,Yes,No,218,283,83,12,72,High,2.82,2.65,2.68,2.54
S1060,CHM,Male,Rivers,On-Campus,Tertiary,Yes,Yes,316,241,66,12,69,Medium,3.20,3.21,3.13,3.35
S1061,BIO,Female,Kaduna,On-Campus,Secondary,Yes,No,278,242,76,15,68,Medium,2.07,1.93,2.01,1.98
S1062,PHY,Female,Kaduna,Off-Campus,Tertiary,Yes,Yes,256,228,81,17,85,Low,2.27,2.38,2.29,2.38
S1063,STA,Female,Rivers,On-Campus,Tertiary,No,No,386,267,100,17,61,Medium,2.97,3.01,3.00,2.99
S1064,CSC,Female,Rivers,Off-Campus,Secondary,Yes,No,389,263,91,6,91,Low,2.59,2.72,2.67,2.65
S1065,CHM,Female,Kano,Off-Campus,Tertiary,Yes,No,294,211,72,20,83,Low,2.70,2.68,2.56,2.55
S1066,MTH,Female,Oyo,Off-Campus,Tertiary,Yes,No,313,190,90,16,86,High,3.50,3.46,3.53,3.54
S1067,CHM,Female,Anambra,Off-Campus,Secondary,Yes,No,398,224,70,22,70,Low,3.25,3.19,3.21,3.27
S1068,MTH,Female,Lagos,Off-Campus,Secondary,Yes,No,330,206,96,17,74,Low,3.02,2.96,2.87,2.59
S1069,STA,Female,Oyo,On-Campus,Secondary,Yes,Yes,366,228,80,21,61,High,1.56,1.61,1.35,1.11
S1070,STA,Female,Kaduna,Off-Campus,Tertiary,Yes,No,270,267,84,17,70,Low,3.45,3.42,3.38,3.45
S1071,STA,Female,Rivers,Off-Campus,Tertiary,Yes,No,277,216,98,22,80,High,2.96,3.06,2.95,2.74
S1072,MTH,Female,Oyo,Off-Campus,Tertiary,Yes,No,299,229,72,18,88,Medium,2.54,2.35,2.31,2.30
S1073,CHM,Male,Anambra,Off-Campus,Secondary,Yes,No,225,232,71,15,64,High,3.22,3.20,2.96,2.90
S1074,STA,Female,Kaduna,Off-Campus,Tertiary,Yes,No,217,255,79,26,71,Low,3.46,3.46,3.59,3.54
S1075,BIO,Female,Lagos,Off-Campus,Primary,Yes,No,321,288,95,19,73,High,3.33,3.12,3.06,3.08
S1076,MTH,Female,Lagos,Off-Campus,Secondary,Yes,No,279,212,70,18,61,Low,3.03,3.11,3.22,3.07
S1077,MTH,Female,Anambra,Off-Campus,None,Yes,No,251,236,57,29,81,Medium,3.23,3.29,3.49,3.43
S1078,CHM,Female,Anambra,Off-Campus,Secondary,Yes,No,369,266,80,30,68,High,3.62,3.68,3.60,3.60
S1079,MTH,Male,Rivers,Off-Campus,Secondary,Yes,No,214,215,91,16,73,Medium,2.47,2.42,2.36,2.44
S1080,MTH,Male,Lagos,On-Campus,Secondary,No,No,326,174,97,6,70,Low,1.45,1.36,1.34,1.38
S1081,STA,Male,Kaduna,On-Campus,Secondary,Yes,Yes,209,249,80,12,67,Low,3.29,3.16,3.12,3.24
S1082,CHM,Male,Oyo,On-Campus,Secondary,Yes,No,257,211,81,16,75,Medium,3.17,2.87,2.51,2.46
S1083,STA,Male,Kaduna,On-Campus,Secondary,Yes,Yes,263,194,97,23,73,High,3.58,3.76,3.73,3.80
S1084,STA,Female,Kano,On-Campus,Primary,Yes,No,292,211,66,18,71,High,2.50,2.39,2.29,2.26
S1085,CHM,Male,Kano,On-Campus,Secondary,No,Yes,204,224,81,9,68,Low,2.82,2.83,2.84,2.66
S1086,CSC,Female,Anambra,On-Campus,Primary,No,No,347,212,87,14,78,Medium,3.33,3.33,3.25,3.08
S1087,STA,Male,Rivers,On-Campus,None,Yes,No,267,164,89,11,92,Medium,3.17,3.18,3.15,3.10
S1088,BIO,Female,Kano,Off-Campus,Secondary,Yes,Yes,193,257,80,13,76,High,2.93,2.97,2.96,2.92
S1089,BIO,Male,Lagos,Off-Campus,Secondary,Yes,No,333,268,85,13,85,High,2.90,2.68,2.45,2.21
S1090,MTH,Male,Kaduna,On-Campus,Secondary,No,No,281,250,60,13,61,High,3.60,3.47,3.30,3.20
S1091,BIO,Male,Kaduna,Off-Campus,Secondary,Yes,No,394,196,78,9,77,Medium,2.04,1.99,1.92,1.91
S1092,MTH,Female,Anambra,On-Campus,Secondary,Yes,Yes,329,224,90,14,64,High,3.36,3.18,3.36,3.45
S1093,CSC,Male,Oyo,Off-Campus,Tertiary,Yes,No,355,230,75,12,60,High,3.41,3.51,3.49,3.40
S1094,CHM,Female,Anambra,Off-Campus,Secondary,Yes,No,262,248,86,0,68,Low,2.96,3.04,2.72,2.59
S1095,CHM,Male,Oyo,On-Campus,Secondary,Yes,Yes,289,250,89,25,87,High,2.88,3.05,3.02,3.03
S1096,CHM,Male,Anambra,Off-Campus,None,Yes,Yes,358,208,82,20,85,High,3.29,3.31,3.15,3.07
S1097,BIO,Female,Anambra,Off-Campus,Secondary,Yes,No,310,232,87,13,77,Medium,1.52,1.46,1.26,1.25
S1098,CSC,Female,Anambra,Off-Campus,Secondary,Yes,No,349,244,75,15,60,Medium,3.01,2.95,2.88,2.85
S1099,BIO,Male,Oyo,Off-Campus,Secondary,Yes,No,198,274,83,9,73,Low,2.24,2.18,2.21,2.41
S1100,BIO,Female,Oyo,Off-Campus,Secondary,Yes,No,380,251,91,23,78,High,2.46,2.55,2.74,2.71
S1101,CSC,Female,Anambra,On-Campus,Secondary,Yes,No,207,254,87,24,77,Low,2.62,2.49,2.37,2.23
S1102,CSC,Female,Kano,Off-Campus,Secondary,Yes,No,391,233,79,16,57,Medium,2.55,2.48,2.51,2.52
S1103,CSC,Male,Rivers,On-Campus,Tertiary,Yes,Yes,352,272,87,20,66,Low,3.36,3.24,3.17,3.12
S1104,CSC,Male,Rivers,Off-Campus,Tertiary,Yes,No,250,242,92,16,74,Medium,1.28,1.42,1.49,1.52
S1105,CHM,Female,Rivers,Off-Campus,Tertiary,Yes,No,385,204,65,8,80,Low,2.56,2.48,2.45,2.37
S1106,PHY,Female,Oyo,Off-Campus,Tertiary,Yes,No,242,272,97,13,53,Low,2.09,2.16,2.10,2.07
S1107,PHY,Female,Oyo,Off-Campus,None,Yes,No,252,251,82,16,73,High,3.20,3.19,3.12,3.16
S1108,CSC,Male,Kano,On-Campus,Primary,Yes,No,303,217,89,13,76,Low,2.74,2.64,2.70,2.52
S1109,PHY,Female,Rivers,On-Campus,None,Yes,Yes,298,216,97,14,83,High,2.69,2.63,2.46,2.31
S1110,PHY,Female,Rivers,On-Campus,Secondary,Yes,No,300,239,71,15,82,High,3.49,3.52,3.53,3.54
S1111,CSC,Male,Anambra,On-Campus,Tertiary,Yes,Yes,198,244,78,15,81,High,1.28,1.22,1.34,1.24
S1112,PHY,Male,Oyo,Off-Campus,Primary,Yes,No,354,236,82,15,67,High,3.75,3.85,3.81,3.71
S1113,BIO,Female,Rivers,On-Campus,Tertiary,Yes,Yes,321,239,77,10,56,Low,3.16,3.00,2.94,2.83
S1114,MTH,Male,Kaduna,On-Campus,None,Yes,Yes,299,281,100,11,71,Medium,2.44,2.41,2.34,2.46
S1115,MTH,Male,Kano,Off-Campus,Tertiary,Yes,No,345,262,76,9,85,Medium,2.85,2.69,2.50,2.35
S1116,CSC,Male,Kaduna,Off-Campus,Secondary,Yes,No,360,236,79,20,89,Medium,2.68,2.68,2.65,2.66
S1117,CHM,Male,Kaduna,Off-Campus,Primary,Yes,No,240,258,87,4,82,Low,3.94,3.94,3.91,3.89
S1118,CSC,Male,Kano,Off-Campus,Secondary,Yes,No,343,199,73,21,79,High,1.20,1.23,1.29,1.00
S1119,CHM,Female,Kaduna,On-Campus,Primary,Yes,Yes,347,242,81,22,79,Medium,3.94,3.80,3.67,3.59
S1120,MTH,Female,Rivers,On-Campus,Primary,Yes,Yes,388,284,88,13,69,Low,3.03,3.05,2.98,2.97
S1121,CSC,Male,Oyo,Off-Campus,Secondary,Yes,No,209,223,82,2,74,High,3.94,3.83,3.82,3.99
S1122,STA,Female,Kano,Off-Campus,Tertiary,Yes,No,188,205,84,13,92,Medium,2.33,2.31,2.45,2.27
S1123,BIO,Female,Anambra,On-Campus,Secondary,Yes,No,243,210,80,15,66,High,1.31,1.46,1.26,1.35
S1124,PHY,Male,Kaduna,Off-Campus,Secondary,Yes,No,340,197,70,10,91,Medium,2.51,2.51,2.59,2.64
S1125,CHM,Male,Kano,On-Campus,Secondary,Yes,No,299,206,88,12,72,Medium,2.93,3.00,3.01,2.99
S1126,STA,Male,Lagos,On-Campus,Tertiary,Yes,No,231,219,100,23,88,Medium,3.52,3.47,3.38,3.19
S1127,PHY,Male,Lagos,Off-Campus,Primary,Yes,No,268,188,85,18,61,High,2.35,2.42,2.49,2.36
S1128,PHY,Female,Oyo,Off-Campus,Secondary,No,No,321,230,87,10,81,Low,2.85,2.71,2.80,2.77
S1129,CSC,Female,Rivers,Off-Campus,Primary,No,No,382,257,92,7,68,High,2.39,2.35,2.51,2.43
S1130,PHY,Male,Oyo,On-Campus,Primary,Yes,No,232,203,72,13,61,Medium,3.60,3.57,3.45,3.46
S1131,BIO,Female,Oyo,Off-Campus,Secondary,Yes,No,366,276,100,14,77,High,2.42,2.30,2.31,2.25
S1132,STA,Female,Oyo,On-Campus,Primary,Yes,No,257,245,87,17,85,Low,2.38,2.24,1.89,1.84
S1133,PHY,Male,Oyo,On-Campus,Secondary,Yes,No,220,261,100,12,67,High,2.91,2.86,2.91,2.76
S1134,CSC,Female,Anambra,Off-Campus,Tertiary,Yes,No,375,210,78,18,60,Low,2.75,2.78,2.82,2.68
S1135,BIO,Female,Anambra,Off-Campus,Primary,Yes,No,247,256,100,25,74,Low,3.25,3.37,3.38,3.28
S1136,MTH,Female,Kano,Off-Campus,Secondary,Yes,No,399,197,93,19,74,High,2.98,3.00,2.92,2.91
S1137,STA,Male,Lagos,Off-Campus,Primary,Yes,No,187,257,91,15,80,Medium,3.23,3.24,3.24,3.11
S1138,PHY,Female,Oyo,Off-Campus,Tertiary,Yes,No,181,235,87,14,84,Low,2.06,2.00,1.89,1.84
S1139,CSC,Female,Kano,Off-Campus,Secondary,Yes,No,284,247,83,13,74,High,2.26,2.24,2.29,2.35
S1140,MTH,Female,Lagos,On-Campus,Tertiary,Yes,No,304,195,97,21,94,Low,3.21,3.09,3.18,3.17
S1141,MTH,Female,Kaduna,Off-Campus,Secondary,Yes,No,289,203,86,12,77,Medium,1.16,1.17,1.30,1.24
S1142,CHM,Female,Rivers,On-Campus,None,Yes,No,265,248,65,15,72,High,2.94,2.89,3.07,2.93
S1143,BIO,Female,Anambra,On-Campus,Secondary,Yes,No,348,202,74,15,59,High,3.88,3.72,3.72,3.69
S1144,PHY,Female,Kaduna,Off-Campus,Tertiary,Yes,No,299,244,83,12,72,High,2.27,2.18,2.16,2.23
S1145,CSC,Female,Lagos,Off-Campus,Secondary,Yes,Yes,306,189,88,8,72,Medium,3.29,3.25,3.26,3.20
S1146,CHM,Male,Kaduna,On-Campus,Tertiary,Yes,No,362,255,84,17,85,Low,2.71,2.72,2.55,2.49
S1147,BIO,Male,Rivers,On-Campus,Tertiary,Yes,Yes,195,193,97,15,80,High,2.93,2.95,2.77,2.70
S1148,CHM,Male,Lagos,Off-Campus,Primary,Yes,No,400,247,65,18,63,Low,1.87,1.91,1.89,1.75
S1149,STA,Female,Kaduna,On-Campus,Primary,No,No,241,249,86,12,77,Low,2.51,2.51,2.64,2.49
S1150,BIO,Male,Anambra,Off-Campus,Secondary,Yes,Yes,292,209,67,21,82,Medium,2.77,2.64,2.65,2.66
S1151,BIO,Female,Anambra,Off-Campus,Secondary,Yes,Yes,355,247,93,11,90,High,2.56,2.53,2.54,2.55
S1152,PHY,Male,Kano,Off-Campus,Tertiary,No,No,337,238,84,24,84,Low,3.27,3.36,3.37,3.43
S1153,BIO,Female,Kaduna,Off-Campus,Tertiary,Yes,No,191,214,89,6,83,High,2.11,1.89,1.91,1.79
S1154,CHM,Female,Oyo,Off-Campus,Secondary,Yes,No,214,200,76,17,76,High,2.12,2.04,2.06,1.86
S1155,BIO,Female,Kaduna,On-Campus,Primary,Yes,Yes,190,171,98,17,79,Medium,3.26,3.35,3.34,3.32
S1156,PHY,Male,Lagos,Off-Campus,Tertiary,Yes,No,243,240,95,11,87,High,3.13,3.13,3.14,3.11
S1157,PHY,Female,Lagos,Off-Campus,Primary,Yes,No,229,183,91,17,62,High,2.02,1.96,1.89,1.69
S1158,STA,Female,Kaduna,On-Campus,Tertiary,Yes,No,392,233,84,21,72,Low,2.72,2.50,2.41,2.31
S1159,CHM,Male,Rivers,Off-Campus,Secondary,Yes,No,328,222,91,4,67,Medium,3.02,3.08,3.12,3.02
S1160,MTH,Female,Anambra,Off-Campus,Secondary,Yes,No,248,250,78,18,79,High,3.29,3.14,2.97,3.04
S1161,MTH,Male,Lagos,Off-Campus,None,Yes,No,227,221,94,3,87,Low,3.26,3.07,3.12,3.00
S1162,BIO,Male,Anambra,Off-Campus,Secondary,Yes,No,199,220,100,10,69,Medium,2.96,2.97,3.08,3.13
S1163,STA,Female,Lagos,Off-Campus,Secondary,Yes,No,280,252,96,23,51,Medium,3.24,3.22,3.13,3.19
S1164,CSC,Male,Kano,Off-Campus,Secondary,Yes,No,374,240,78,12,71,Low,2.06,2.12,2.15,2.13
S1165,BIO,Male,Oyo,Off-Campus,Primary,Yes,Yes,351,239,89,9,84,Low,3.27,3.24,3.16,3.17
S1166,STA,Male,Lagos,Off-Campus,Tertiary,Yes,No,340,244,72,14,80,Low,2.83,2.79,2.98,2.95
S1167,CHM,Male,Anambra,Off-Campus,Tertiary,Yes,Yes,380,184,91,25,79,Low,3.49,3.37,3.18,3.28
S1168,CHM,Male,Kano,Off-Campus,Primary,Yes,No,368,253,90,6,72,Low,2.43,2.27,2.15,2.00
S1169,CHM,Female,Lagos,Off-Campus,None,Yes,No,316,248,66,10,62,High,3.16,3.18,3.28,3.12
S1170,CHM,Female,Rivers,On-Campus,None,No,No,247,199,73,22,80,High,2.90,3.04,3.14,3.29
S1171,CHM,Female,Oyo,Off-Campus,Secondary,Yes,Yes,214,223,82,24,67,Medium,3.09,3.05,2.83,2.68
S1172,STA,Female,Lagos,Off-Campus,Secondary,Yes,Yes,388,229,82,14,97,High,2.61,2.53,2.55,2.58
S1173,STA,Female,Kano,On-Campus,Secondary,Yes,No,395,226,73,9,81,High,2.40,2.33,2.36,2.22
S1174,PHY,Female,Rivers,Off-Campus,Primary,Yes,Yes,244,240,89,25,69,High,3.02,3.00,3.18,3.14
S1175,MTH,Male,Kaduna,On-Campus,Secondary,Yes,Yes,187,273,88,23,69,Low,2.34,2.28,2.27,2.21
S1176,CHM,Male,Kano,On-Campus,Secondary,No,No,224,262,83,18,74,Medium,2.26,2.06,2.03,2.00
S1177,CSC,Male,Kano,Off-Campus,Secondary,Yes,No,266,191,77,11,73,Medium,3.34,3.25,3.13,2.96
S1178,STA,Male,Rivers,On-Campus,Tertiary,Yes,No,354,249,95,15,86,Medium,3.46,3.45,3.54,3.62
S1179,CSC,Female,Kano,Off-Campus,Primary,Yes,No,347,270,100,14,77,Medium,3.13,3.13,3.23,3.12
S1180,CSC,Male,Rivers,Off-Campus,Secondary,Yes,Yes,255,242,80,17,68,High,2.80,2.77,2.68,2.52
S1181,CSC,Female,Lagos,Off-Campus,Secondary,Yes,No,361,263,79,22,94,High,2.05,1.84,1.69,1.57
S1182,PHY,Female,Rivers,On-Campus,Secondary,Yes,No,255,290,90,19,75,Low,3.26,3.23,3.34,3.06
S1183,STA,Female,Rivers,On-Campus,Tertiary,Yes,No,353,261,81,10,83,Medium,2.07,2.02,1.86,1.87
S1184,CSC,Male,Oyo,Off-Campus,Secondary,Yes,No,226,237,84,22,69,High,2.92,2.92,2.87,2.72
S1185,CHM,Male,Rivers,Off-Campus,Tertiary,Yes,No,194,261,92,17,79,High,1.76,1.60,1.44,1.40
S1186,BIO,Female,Rivers,Off-Campus,Primary,No,No,284,234,66,18,78,Low,2.65,2.41,2.36,2.19
S1187,CSC,Female,Kaduna,On-Campus,Primary,Yes,No,326,231,98,22,56,Low,1.82,1.72,1.92,1.87
S1188,PHY,Male,Lagos,Off-Campus,Tertiary,Yes,No,205,219,86,9,95,Low,2.64,2.58,2.55,2.54
S1189,STA,Female,Oyo,Off-Campus,Secondary,Yes,No,231,277,81,15,88,High,3.47,3.42,3.27,3.08
S1190,PHY,Male,Kaduna,Off-Campus,Primary,Yes,No,272,205,84,12,71,High,2.71,2.90,2.93,2.93
S1191,CSC,Male,Anambra,On-Campus,None,No,No,329,276,85,7,64,Low,2.92,2.79,2.78,2.87
S1192,STA,Male,Lagos,Off-Campus,None,Yes,No,200,245,68,17,78,Medium,2.51,2.45,2.42,2.42
S1193,BIO,Male,Lagos,Off-Campus,Tertiary,Yes,Yes,230,188,100,28,76,Low,2.12,2.02,2.26,2.15
S1194,CSC,Female,Anambra,Off-Campus,Primary,No,No,217,241,85,6,79,Low,2.52,2.54,2.33,2.14
S1195,PHY,Female,Rivers,On-Campus,Secondary,Yes,No,199,167,89,15,77,Low,2.13,2.11,2.15,2.09
S1196,MTH,Male,Kaduna,Off-Campus,Primary,No,No,336,249,95,18,80,Low,3.29,3.28,3.18,3.00
S1197,CHM,Female,Kano,Off-Campus,Secondary,Yes,No,358,257,75,16,89,High,3.24,3.08,3.04,3.13
S1198,PHY,Female,Oyo,On-Campus,None,Yes,No,311,212,90,14,81,Medium,2.62,2.60,2.43,2.42
S1199,STA,Female,Kano,Off-Campus,Secondary,Yes,No,234,234,82,9,65,Low,2.01,1.75,1.66,1.64
S1200,CSC,Male,Anambra,Off-Campus,None,Yes,No,378,289,93,16,89,Medium,3.10,3.00,2.98,2.94
S1201,CHM,Male,Lagos,On-Campus,Tertiary,No,Yes,271,215,64,11,91,Medium,2.49,2.56,2.60,2.54
S1202,CSC,Male,Lagos,On-Campus,Primary,Yes,Yes,207,198,84,4,100,Medium,2.94,2.90,2.77,2.65
S1203,STA,Male,Oyo,Off-Campus,Secondary,Yes,No,183,274,79,21,64,Low,3.19,3.20,3.34,3.33
S1204,CSC,Male,Lagos,On-Campus,Tertiary,Yes,No,329,289,89,20,77,High,3.21,3.38,3.26,3.20
S1205,MTH,Female,Lagos,Off-Campus,Secondary,Yes,No,255,230,90,15,54,Low,3.35,3.14,3.20,3.15
S1206,CHM,Male,Oyo,On-Campus,Secondary,Yes,No,352,260,78,16,81,Medium,1.60,1.48,1.30,1.34
S1207,CHM,Male,Kaduna,Off-Campus,Secondary,No,No,246,270,78,20,70,Medium,3.15,3.04,2.98,2.94
