ID No,Prog Code,Gender,state_of_origin,residence_type,parental_education,internet_access,has_scholarship,waec_score,jamb_score,attendance_rate,study_hours_per_week,assignment_score_avg,class_participation,CGPA400,CGPA300,CGPA200,CGPA100
S1208,STA,Male,Kaduna,On-Campus,Secondary,Yes,No,265,208,84,16,94,High,3.20,3.13,3.02,2.98
S1209,MTH,Male,Oyo,Off-Campus,Secondary,Yes,Yes,373,215,76,20,67,Low,2.22,2.30,2.25,2.21
S1210,PHY,Male,Anambra,Off-Campus,Tertiary,Yes,No,395,267,93,14,58,Medium,3.47,3.47,3.60,3.54
S1211,CSC,Male,Lagos,Off-Campus,Secondary,Yes,No,341,281,81,22,70,High,3.57,3.43,3.47,3.41
S1212,BIO,Male,Lagos,Off-Campus,Secondary,Yes,No,270,247,56,17,55,Medium,3.18,3.24,3.12,3.11
S1213,CSC,Male,Anambra,On-Campus,Tertiary,Yes,No,362,204,81,16,83,High,2.03,2.23,2.16,1.98
S1214,CSC,Male,Kaduna,Off-Campus,Secondary,No,No,284,290,75,9,54,High,2.22,2.19,2.02,2.09
S1215,PHY,Female,Rivers,On-Campus,None,Yes,No,180,214,69,16,75,Low,3.38,3.35,3.26,3.28
S1216,CSC,Male,Rivers,On-Campus,Secondary,Yes,No,251,220,73,11,54,Medium,2.20,2.14,2.18,1.85
S1217,MTH,Male,Rivers,On-Campus,Tertiary,Yes,No,266,240,86,12,72,Low,1.08,1.00,1.00,1.04
S1218,MTH,Male,Kaduna,Off-Campus,Primary,No,No,345,277,98,11,91,Medium,3.23,3.12,3.06,3.14
S1219,CHM,Female,Kaduna,Off-Campus,Secondary,Yes,No,185,256,88,10,79,Low,3.00,2.93,3.11,2.99
S1220,STA,Male,Anambra,Off-Campus,Primary,Yes,No,393,242,79,26,66,Medium,3.04,2.87,2.65,2.81
S1221,BIO,Female,Lagos,Off-Campus,Secondary,Yes,Yes,332,244,90,22,75,Low,2.80,2.90,2.81,2.78
S1222,CSC,Female,Anambra,On-Campus,None,Yes,No,389,231,80,25,75,High,2.76,2.66,2.49,2.23
S1223,CSC,Male,Anambra,Off-Campus,Secondary,Yes,No,324,247,78,9,80,Medium,3.45,3.34,3.44,3.55
S1224,PHY,Female,Kaduna,Off-Campus,Tertiary,Yes,No,240,160,73,15,61,Medium,2.85,2.92,2.75,2.89
S1225,STA,Female,Rivers,Off-Campus,Secondary,Yes,No,191,221,67,9,81,High,3.84,3.94,3.67,3.77
S1226,MTH,Male,Kano,On-Campus,Secondary,Yes,No,185,237,81,12,48,Low,3.03,3.05,3.13,2.99
S1227,BIO,Male,Lagos,Off-Campus,Tertiary,No,No,397,195,87,10,69,Medium,2.78,2.79,2.66,2.50
S1228,CHM,Female,Kaduna,Off-Campus,Tertiary,Yes,No,206,242,84,21,70,Medium,3.41,3.29,3.24,3.24
S1229,MTH,Male,Rivers,On-Campus,Primary,Yes,No,315,224,81,13,81,Low,2.79,2.80,2.91,2.79
S1230,STA,Female,Kano,On-Campus,Secondary,Yes,Yes,390,283,76,20,75,High,3.25,3.28,3.19,3.00
S1231,CHM,Male,Kano,Off-Campus,Primary,Yes,No,303,277,91,18,61,Low,2.23,2.24,2.11,1.88
S1232,PHY,Female,Kaduna,Off-Campus,Tertiary,Yes,Yes,285,216,72,27,65,Low,3.92,3.76,3.77,3.75
S1233,PHY,Male,Oyo,On-Campus,Tertiary,Yes,No,372,225,93,8,77,Low,2.72,2.67,2.50,2.68
S1234,CSC,Female,Lagos,Off-Campus,Secondary,Yes,No,364,228,75,21,74,Medium,3.48,3.45,3.57,3.60
S1235,STA,Female,Kano,On-Campus,Tertiary,Yes,No,272,216,77,21,69,High,2.15,2.12,2.21,2.21
S1236,BIO,Male,Kaduna,Off-Campus,Secondary,Yes,No,288,236,70,10,70,High,3.11,2.93,2.87,2.84
S1237,CHM,Male,Kaduna,Off-Campus,Secondary,Yes,Yes,278,207,80,20,82,Low,2.21,2.23,2.18,2.15
S1238,MTH,Male,Rivers,Off-Campus,None,Yes,No,347,196,95,17,70,Medium,3.39,3.21,3.23,3.07
S1239,STA,Male,Oyo,Off-Campus,Tertiary,Yes,No,321,249,90,14,74,Low,2.19,2.11,1.98,1.81
S1240,STA,Male,Lagos,On-Campus,Primary,Yes,No,214,249,95,11,97,Medium,3.03,3.00,2.90,2.86
S1241,PHY,Female,Anambra,On-Campus,Tertiary,Yes,No,355,206,90,11,61,Medium,3.49,3.19,3.05,2.89
S1242,CSC,Female,Rivers,Off-Campus,Tertiary,Yes,No,263,257,74,25,56,Medium,2.02,2.08,2.04,1.96
S1243,CSC,Female,Kano,Off-Campus,Tertiary,Yes,No,235,211,82,15,83,Medium,3.41,3.39,3.28,3.23
S1244,CHM,Female,Kano,Off-Campus,None,Yes,No,356,238,77,19,68,High,3.18,3.25,3.25,3.11
S1245,PHY,Female,Rivers,On-Campus,Secondary,Yes,No,320,255,98,11,72,Medium,1.83,1.69,1.43,1.38
S1246,STA,Female,Kaduna,On-Campus,Primary,Yes,No,368,229,73,11,67,Medium,1.55,1.33,1.36,1.11
S1247,BIO,Female,Kano,On-Campus,Secondary,No,No,228,244,94,20,72,Low,3.44,3.22,2.96,3.06
S1248,PHY,Male,Oyo,Off-Campus,None,No,No,225,215,94,8,91,Low,1.92,1.74,1.69,1.69
S1249,CHM,Male,Lagos,On-Campus,Tertiary,No,No,292,224,100,13,83,High,2.01,1.98,2.07,2.03
S1250,CHM,Male,Oyo,Off-Campus,Secondary,Yes,No,369,224,81,15,84,Low,3.04,3.02,2.84,2.74
S1251,PHY,Male,Kano,Off-Campus,Secondary,Yes,No,315,208,92,16,61,Medium,2.25,2.36,2.30,2.13
S1252,CHM,Male,Anambra,Off-Campus,Secondary,No,No,222,225,100,14,63,Low,2.66,2.41,2.27,2.23
S1253,PHY,Male,Lagos,On-Campus,Secondary,Yes,No,327,184,79,17,47,High,1.88,1.78,1.61,1.70
S1254,MTH,Female,Lagos,Off-Campus,Secondary,Yes,No,303,215,70,18,67,Low,3.23,3.22,3.14,3.01
S1255,PHY,Female,Rivers,Off-Campus,Secondary,Yes,No,276,221,66,19,85,Low,2.60,2.42,2.43,2.30
S1256,PHY,Male,Rivers,Off-Campus,Tertiary,Yes,No,269,222,92,10,80,High,3.59,3.64,3.49,3.64
S1257,CHM,Male,Anambra,Off-Campus,Secondary,No,No,218,223,66,14,73,High,3.39,3.30,3.25,3.20
S1258,CHM,Male,Kaduna,Off-Campus,Tertiary,Yes,No,264,228,81,21,75,Medium,3.98,3.95,3.83,3.94
S1259,CSC,Male,Lagos,Off-Campus,Tertiary,Yes,Yes,356,244,89,19,68,Low,1.27,1.15,1.32,1.33
S1260,CSC,Male,Anambra,On-Campus,Primary,Yes,No,371,256,87,8,77,Medium,2.49,2.45,2.35,2.39
S1261,MTH,Female,Rivers,On-Campus,Tertiary,Yes,No,241,211,89,17,83,Low,2.09,2.18,2.19,2.06
S1262,CSC,Male,Rivers,Off-Campus,Primary,Yes,No,285,194,87,5,59,Low,2.55,2.50,2.28,2.22
S1263,PHY,Female,Lagos,Off-Campus,Tertiary,Yes,No,286,199,98,15,78,Medium,3.25,3.09,2.98,3.06
S1264,CHM,Female,Oyo,Off-Campus,Secondary,Yes,Yes,233,215,75,24,84,Low,3.07,3.02,2.95,2.81
S1265,CSC,Male,Kano,Off-Campus,Tertiary,No,No,305,219,78,10,71,Low,3.22,3.09,2.99,3.08
S1266,CSC,Female,Rivers,On-Campus,Tertiary,Yes,No,188,207,77,11,82,Low,3.16,3.22,3.27,3.19
S1267,MTH,Female,Kaduna,On-Campus,Tertiary,Yes,No,267,191,93,19,100,High,2.52,2.47,2.26,2.29
S1268,STA,Male,Kaduna,Off-Campus,Tertiary,Yes,No,216,216,94,7,74,Medium,2.58,2.59,2.34,2.33
S1269,MTH,Male,Rivers,Off-Campus,Secondary,Yes,No,228,235,90,12,79,High,3.50,3.38,3.29,3.19
S1270,PHY,Female,Oyo,On-Campus,None,Yes,Yes,220,248,97,18,68,Medium,3.88,3.83,3.62,3.52
S1271,CHM,Female,Oyo,Off-Campus,Secondary,Yes,No,196,213,73,12,77,Medium,3.35,3.23,3.24,3.05
S1272,MTH,Female,Anambra,On-Campus,Primary,Yes,No,267,218,100,14,80,Low,3.18,3.02,3.05,3.01
S1273,CSC,Female,Kaduna,Off-Campus,Secondary,Yes,No,200,202,100,19,77,Medium,1.05,1.00,1.00,1.00
S1274,CHM,Female,Anambra,On-Campus,Secondary,No,No,230,229,92,17,65,High,2.75,2.67,2.58,2.57
S1275,CHM,Female,Kaduna,Off-Campus,Tertiary,Yes,Yes,238,205,100,16,77,High,2.95,3.00,2.98,2.92
S1276,CSC,Female,Kano,On-Campus,Secondary,Yes,No,346,247,68,13,90,High,2.24,2.19,2.08,1.99
S1277,MTH,Female,Kano,Off-Campus,Tertiary,Yes,No,362,176,80,17,79,Medium,3.16,3.16,3.08,3.04
S1278,CSC,Female,Lagos,On-Campus,Primary,Yes,No,220,219,78,14,85,High,3.09,3.07,3.12,3.25
S1279,STA,Male,Anambra,On-Campus,Tertiary,Yes,No,218,239,92,17,73,Medium,2.57,2.56,2.46,2.37
S1280,CHM,Female,Rivers,On-Campus,Tertiary,No,No,320,236,74,13,82,High,2.15,2.20,2.06,1.98
S1281,BIO,Female,Anambra,Off-Campus,Secondary,No,No,371,311,93,14,78,High,3.17,3.32,3.25,3.27
S1282,BIO,Male,Rivers,Off-Campus,Secondary,Yes,Yes,190,240,99,10,65,Medium,2.69,2.71,2.54,2.62
S1283,PHY,Female,Oyo,On-Campus,Tertiary,No,No,326,200,92,15,78,High,2.55,2.49,2.56,2.36
S1284,CSC,Male,Anambra,Off-Campus,Primary,Yes,No,318,227,88,11,65,Low,2.38,2.47,2.37,2.27
S1285,CSC,Female,Oyo,Off-Campus,Secondary,Yes,No,256,177,75,9,69,Medium,1.42,1.36,1.43,1.40
S1286,PHY,Female,Kano,Off-Campus,Secondary,Yes,No,306,228,77,16,77,Medium,2.56,2.32,2.38,2.44
S1287,PHY,Female,Kano,On-Campus,Primary,No,Yes,225,205,97,16,78,Medium,2.01,1.85,1.87,1.90
S1288,PHY,Male,Lagos,Off-Campus,Secondary,Yes,No,224,257,93,19,63,Low,3.54,3.32,3.37,3.19
S1289,CHM,Female,Anambra,On-Campus,None,Yes,No,180,214,85,13,86,Medium,3.94,3.85,3.86,3.79
S1290,STA,Female,Oyo,On-Campus,None,Yes,No,347,226,81,17,81,High,3.04,2.87,2.84,2.85
S1291,CSC,Male,Rivers,Off-Campus,Primary,Yes,Yes,287,211,65,18,68,High,3.85,3.88,3.74,3.64
S1292,CHM,Male,Kano,On-Campus,Tertiary,Yes,No,198,282,74,17,60,High,2.91,2.93,2.91,2.94
S1293,PHY,Female,Kano,Off-Campus,Secondary,No,No,255,220,100,11,74,Medium,2.27,2.49,2.60,2.40
S1294,CSC,Male,Rivers,Off-Campus,Tertiary,Yes,No,251,285,72,16,71,High,3.18,3.01,2.85,2.66
S1295,CHM,Male,Oyo,Off-Campus,Secondary,Yes,No,379,254,87,17,76,Medium,2.56,2.36,2.39,2.39
S1296,STA,Female,Oyo,Off-Campus,Secondary,No,No,368,244,95,15,71,High,3.43,3.44,3.39,3.41
S1297,CHM,Male,Anambra,On-Campus,Secondary,Yes,No,288,241,72,5,55,Low,3.46,3.44,3.34,3.55
S1298,STA,Female,Anambra,On-Campus,Secondary,No,Yes,191,242,87,16,71,Low,3.36,3.39,3.32,3.42
S1299,PHY,Male,Kaduna,Off-Campus,Primary,Yes,No,368,172,94,26,72,Low,3.04,2.95,2.79,2.88
S1300,STA,Female,Kaduna,On-Campus,Secondary,Yes,Yes,340,222,85,13,81,Low,3.33,3.17,3.07,3.00
S1301,CSC,Male,Lagos,On-Campus,Primary,Yes,No,224,255,100,11,68,Medium,2.41,2.53,2.57,2.55
S1302,PHY,Female,Kano,On-Campus,Secondary,No,No,269,229,68,17,92,High,3.23,3.14,2.87,2.96
S1303,CSC,Male,Anambra,On-Campus,Secondary,Yes,Yes,282,188,96,17,56,Low,1.05,1.03,1.00,1.00
S1304,BIO,Female,Oyo,On-Campus,Primary,Yes,No,399,228,83,21,88,Medium,3.60,3.53,3.50,3.40
S1305,MTH,Male,Rivers,On-Campus,None,Yes,Yes,376,281,93,9,73,Low,3.39,3.29,3.15,3.04
S1306,STA,Female,Oyo,Off-Campus,Tertiary,Yes,No,187,267,89,19,84,Low,3.73,3.70,3.62,3.76
S1307,MTH,Female,Kano,Off-Campus,Secondary,Yes,No,332,228,78,18,76,Medium,2.30,2.26,2.17,2.13
S1308,MTH,Female,Kaduna,Off-Campus,None,Yes,Yes,270,259,87,14,86,Medium,3.69,3.66,3.36,3.45
S1309,STA,Female,Oyo,On-Campus,Tertiary,No,No,353,219,66,17,71,High,2.85,2.70,2.68,2.54
S1310,PHY,Male,Lagos,On-Campus,None,Yes,No,266,179,91,20,64,High,2.74,2.65,2.63,2.50
S1311,BIO,Female,Kano,On-Campus,Secondary,Yes,No,337,202,88,19,89,Low,2.27,2.20,2.14,2.18
S1312,CSC,Male,Kaduna,Off-Campus,Tertiary,Yes,Yes,354,277,91,9,74,Low,2.12,2.19,2.04,2.06
S1313,CHM,Male,Rivers,Off-Campus,Primary,No,No,394,222,96,19,77,High,3.12,3.11,3.21,3.21
S1314,CSC,Male,Kaduna,On-Campus,Primary,Yes,No,356,223,89,15,87,High,3.45,3.31,3.46,3.63
S1315,CHM,Female,Lagos,Off-Campus,Primary,Yes,No,354,221,86,15,65,Medium,3.28,3.23,3.24,3.16
S1316,CSC,Female,Kano,On-Campus,Secondary,Yes,Yes,263,287,76,15,81,High,2.53,2.41,2.53,2.50
S1317,STA,Male,Rivers,Off-Campus,Primary,Yes,Yes,261,279,78,14,69,High,3.29,3.07,3.06,2.91
S1318,BIO,Female,Lagos,Off-Campus,Secondary,Yes,No,325,297,97,21,74,Low,3.18,3.03,2.93,2.99
S1319,CHM,Male,Kaduna,Off-Campus,None,Yes,No,373,225,99,15,76,High,1.80,1.74,1.78,1.79
S1320,PHY,Male,Lagos,Off-Campus,Secondary,Yes,No,247,239,83,9,60,Low,3.76,3.76,3.86,3.96
S1321,CSC,Male,Kano,Off-Campus,Tertiary,Yes,No,340,185,85,13,67,High,2.12,2.32,2.26,2.31
S1322,CSC,Male,Anambra,On-Campus,Tertiary,Yes,No,306,274,76,16,89,Medium,2.13,2.09,1.96,2.03
S1323,CHM,Male,Lagos,Off-Campus,Secondary,Yes,No,343,195,97,21,84,High,3.26,3.25,3.37,3.22
S1324,PHY,Female,Lagos,On-Campus,Secondary,Yes,No,261,237,92,18,74,High,3.46,3.37,3.24,3.26
S1325,PHY,Female,Kaduna,Off-Campus,Secondary,Yes,No,326,197,100,11,77,High,3.15,3.12,2.98,2.92
S1326,STA,Male,Kaduna,Off-Campus,Secondary,Yes,No,335,212,76,27,72,Low,2.86,2.84,2.70,2.69
S1327,STA,Male,Rivers,Off-Campus,Secondary,Yes,No,347,205,81,16,89,Medium,2.76,2.88,2.71,2.79
S1328,STA,Male,Kaduna,Off-Campus,Primary,Yes,No,263,212,87,21,73,High,2.25,2.29,2.02,1.99
S1329,STA,Female,Oyo,Off-Campus,Tertiary,Yes,No,292,214,91,14,77,Low,1.04,1.00,1.00,1.00
S1330,STA,Male,Kano,Off-Campus,Secondary,Yes,No,255,214,83,18,86,Medium,2.10,1.88,1.82,1.89
S1331,STA,Female,Kano,Off-Campus,Primary,Yes,No,301,255,76,19,67,Low,3.36,3.32,3.31,3.18
S1332,BIO,Female,Anambra,On-Campus,Secondary,Yes,No,322,197,94,21,91,Low,3.10,3.02,2.96,3.00
S1333,PHY,Female,Anambra,On-Campus,Secondary,Yes,No,220,237,92,20,60,Medium,2.37,2.22,2.02,2.02
S1334,STA,Female,Kano,On-Campus,Tertiary,Yes,Yes,346,267,76,19,91,High,3.25,3.28,3.36,3.26
S1335,PHY,Male,Anambra,On-Campus,Tertiary,Yes,No,181,215,99,13,71,Low,3.86,3.78,3.81,3.83
S1336,PHY,Female,Rivers,Off-Campus,Tertiary,Yes,No,370,208,97,12,73,Low,2.11,2.14,1.95,1.89
S1337,MTH,Female,Kaduna,On-Campus,None,Yes,No,208,223,86,17,56,High,3.20,3.06,2.91,2.89
S1338,BIO,Female,Kano,Off-Campus,Secondary,Yes,No,284,265,86,20,70,High,1.48,1.42,1.40,1.34
S1339,STA,Male,Anambra,On-Campus,Secondary,No,No,381,236,91,14,65,Medium,2.54,2.46,2.32,2.51
S1340,CSC,Male,Kano,On-Campus,None,Yes,Yes,373,214,76,20,69,Medium,3.40,3.43,3.35,3.48
S1341,CHM,Male,Oyo,Off-Campus,Primary,Yes,No,230,245,85,22,74,Medium,1.17,1.05,1.00,1.00
S1342,CSC,Female,Lagos,Off-Campus,Tertiary,Yes,No,254,197,63,10,85,High,3.40,3.14,3.08,2.93
S1343,BIO,Female,Kaduna,Off-Campus,Primary,Yes,No,384,250,94,11,77,Low,3.34,3.39,3.24,3.28
S1344,CHM,Female,Kano,Off-Campus,Secondary,Yes,No,189,242,69,14,78,Low,3.27,3.26,2.94,2.92
S1345,BIO,Male,Lagos,Off-Campus,Primary,Yes,No,321,221,100,17,64,Medium,3.85,3.78,3.67,3.59
S1346,PHY,Female,Anambra,On-Campus,None,Yes,No,389,205,82,12,66,High,2.41,2.28,2.22,2.11
S1347,CHM,Male,Lagos,Off-Campus,Primary,No,No,230,203,83,22,93,Low,3.07,3.07,2.95,3.10
S1348,PHY,Male,Kaduna,Off-Campus,Tertiary,Yes,Yes,297,246,79,17,68,Medium,3.33,3.56,3.55,3.58
S1349,CSC,Male,Kano,Off-Campus,Tertiary,Yes,No,380,267,82,15,92,Low,3.26,3.07,2.78,2.77
S1350,CSC,Female,Oyo,On-Campus,Tertiary,Yes,No,300,211,99,8,73,Low,2.63,2.51,2.44,2.32
S1351,CHM,Male,Anambra,Off-Campus,Secondary,Yes,No,218,244,60,8,75,High,2.33,2.46,2.44,2.14
S1352,CHM,Female,Kano,On-Campus,Primary,Yes,No,207,167,98,16,86,High,3.44,3.46,3.49,3.46
S1353,STA,Female,Kaduna,On-Campus,Secondary,Yes,Yes,182,212,88,4,88,Low,3.29,3.08,2.92,3.01
S1354,BIO,Male,Anambra,On-Campus,Secondary,Yes,No,263,229,73,20,74,Medium,3.04,2.85,2.71,2.62
S1355,STA,Female,Rivers,Off-Campus,Tertiary,Yes,Yes,377,203,74,14,71,High,3.22,3.08,3.08,2.89
S1356,BIO,Male,Lagos,Off-Campus,None,Yes,No,334,202,100,31,74,Low,2.75,2.72,2.61,2.55
S1357,STA,Male,Kaduna,Off-Campus,Secondary,Yes,No,296,210,76,27,78,High,2.79,2.73,2.83,2.87
S1358,PHY,Male,Rivers,Off-Campus,Primary,Yes,Yes,181,239,73,14,84,High,3.24,3.21,3.14,2.99
S1359,CHM,Male,Kano,Off-Campus,Secondary,No,No,272,224,96,14,75,High,3.44,3.28,3.18,3.06
S1360,CSC,Female,Oyo,On-Campus,Tertiary,No,Yes,345,163,88,20,81,Low,3.13,3.17,2.95,3.00
S1361,BIO,Male,Anambra,On-Campus,Secondary,Yes,No,310,166,76,24,91,Medium,2.41,2.44,2.46,2.38
S1362,BIO,Female,Lagos,Off-Campus,Secondary,Yes,No,323,212,87,7,79,Medium,3.44,3.29,3.37,3.22
S1363,CSC,Female,Anambra,On-Campus,Secondary,Yes,Yes,273,244,75,6,78,Medium,1.89,1.84,1.88,1.71
S1364,STA,Female,Kano,Off-Campus,Secondary,Yes,No,219,160,96,12,60,High,2.68,2.49,2.57,2.53
S1365,BIO,Female,Anambra,Off-Campus,Tertiary,No,Yes,181,215,96,18,49,Low,3.42,3.44,3.25,3.24
S1366,PHY,Female,Lagos,Off-Campus,Tertiary,Yes,No,260,214,90,17,79,High,2.09,2.04,1.84,1.67
S1367,CHM,Male,Kano,Off-Campus,Tertiary,Yes,No,348,272,89,20,74,Medium,2.86,2.90,2.82,2.89
S1368,CSC,Male,Anambra,Off-Campus,Tertiary,Yes,No,191,218,100,9,70,Medium,2.32,2.27,2.09,2.00
S1369,CHM,Female,Oyo,Off-Campus,Secondary,Yes,Yes,342,241,85,3,77,Low,3.09,3.19,3.12,3.21
S1370,BIO,Female,Kaduna,Off-Campus,Secondary,Yes,No,244,234,73,19,74,High,3.12,3.12,3.08,2.92
S1371,BIO,Male,Kano,Off-Campus,Secondary,No,No,234,166,89,11,86,Medium,2.41,2.51,2.49,2.47
S1372,CSC,Male,Kaduna,On-Campus,Primary,Yes,No,224,253,100,5,76,Low,2.25,2.13,2.11,1.93
S1373,PHY,Male,Kano,Off-Campus,Tertiary,Yes,No,386,236,75,16,68,High,2.32,2.20,2.30,2.20
S1374,MTH,Female,Oyo,Off-Campus,None,No,No,397,245,81,19,85,High,2.13,2.26,2.18,2.25
S1375,CSC,Male,Kaduna,On-Campus,Tertiary,Yes,No,280,348,89,14,73,Medium,2.29,2.11,2.06,1.87
S1376,MTH,Male,Rivers,Off-Campus,Secondary,Yes,No,392,167,84,13,80,Medium,2.57,2.27,2.14,1.94
S1377,STA,Male,Lagos,Off-Campus,Secondary,Yes,No,241,282,75,14,70,High,3.22,3.16,3.10,2.96
S1378,MTH,Male,Rivers,Off-Campus,Secondary,Yes,No,228,221,96,13,69,High,2.34,2.36,2.32,2.35
S1379,PHY,Female,Anambra,On-Campus,Tertiary,No,No,306,239,100,8,76,Medium,2.74,2.41,2.44,2.42
S1380,STA,Male,Oyo,Off-Campus,Secondary,Yes,Yes,332,229,87,11,75,High,2.88,2.97,2.91,2.84
S1381,MTH,Female,Rivers,Off-Campus,Secondary,No,No,202,217,76,18,80,Medium,2.75,2.70,2.57,2.59
S1382,STA,Male,Kano,On-Campus,None,Yes,No,331,213,70,17,72,High,3.16,3.09,3.16,2.94
S1383,MTH,Female,Anambra,On-Campus,Secondary,No,No,217,240,88,16,57,Medium,2.74,2.55,2.49,2.43
S1384,PHY,Male,Anambra,Off-Campus,Primary,Yes,No,207,184,96,10,71,Low,2.15,2.06,1.99,2.21
S1385,MTH,Male,Rivers,On-Campus,Tertiary,Yes,No,200,253,90,14,83,Medium,3.06,3.06,3.09,3.00
S1386,MTH,Female,Rivers,Off-Campus,Secondary,Yes,Yes,361,218,85,4,72,Medium,2.34,2.39,2.40,2.38
S1387,MTH,Female,Oyo,Off-Campus,Secondary,No,Yes,286,196,79,16,73,Low,3.40,3.38,3.31,3.26
S1388,CSC,Female,Lagos,On-Campus,None,Yes,No,325,216,74,22,85,High,3.12,3.17,3.23,3.22
S1389,CSC,Female,Rivers,Off-Campus,None,Yes,No,343,268,93,8,68,Low,3.53,3.48,3.39,3.26
S1390,CSC,Female,Rivers,Off-Campus,Tertiary,Yes,No,278,214,94,12,60,Medium,3.06,3.07,3.11,2.95
S1391,PHY,Male,Kaduna,Off-Campus,None,Yes,No,352,241,70,17,73,High,2.85,2.95,2.79,2.71
S1392,STA,Female,Kano,On-Campus,None,No,No,298,208,100,21,70,Low,2.63,2.45,2.17,2.15
S1393,BIO,Male,Kaduna,Off-Campus,None,Yes,No,252,253,91,13,65,High,2.25,2.25,2.29,2.24
S1394,MTH,Female,Kaduna,On-Campus,Tertiary,Yes,No,360,251,99,12,73,High,2.55,2.63,2.52,2.47
S1395,MTH,Female,Anambra,On-Campus,Tertiary,Yes,Yes,301,285,72,5,80,Low,3.26,3.23,3.25,3.28
S1396,PHY,Female,Lagos,Off-Campus,Secondary,Yes,No,209,225,71,16,75,High,3.32,3.26,3.11,3.00
S1397,MTH,Female,Kano,On-Campus,Primary,Yes,No,367,250,84,25,78,Low,2.23,2.36,2.43,2.34
S1398,CSC,Male,Oyo,Off-Campus,Secondary,Yes,Yes,287,233,90,16,93,Medium,3.42,3.34,3.24,3.04
S1399,BIO,Female,Oyo,On-Campus,Tertiary,Yes,No,277,269,100,15,72,High,1.31,1.36,1.40,1.22
S1400,CHM,Male,Rivers,Off-Campus,Secondary,Yes,No,211,208,92,17,78,Medium,2.69,2.47,2.44,2.46
S1401,MTH,Female,Rivers,On-Campus,Primary,Yes,No,374,252,83,15,70,Medium,2.02,1.91,1.97,1.83
S1402,CSC,Female,Oyo,Off-Campus,Primary,Yes,No,374,224,75,11,67,High,1.37,1.36,1.23,1.27
S1403,CHM,Male,Rivers,Off-Campus,None,Yes,No,335,228,97,19,69,Low,3.17,3.20,3.23,3.11
S1404,BIO,Female,Lagos,On-Campus,Secondary,Yes,No,351,233,75,16,70,High,3.27,3.23,3.12,3.12
S1405,CHM,Female,Kaduna,On-Campus,Tertiary,Yes,No,258,238,100,15,79,Medium,2.07,1.96,1.95,2.00
S1406,CSC,Female,Rivers,On-Campus,Primary,No,No,220,227,82,10,98,Medium,3.39,3.34,3.30,3.22
S1407,STA,Female,Anambra,Off-Campus,None,No,Yes,242,236,100,22,68,Low,1.22,1.19,1.12,1.34
S1408,STA,Male,Rivers,On-Campus,None,Yes,No,202,277,92,18,71,High,3.84,3.78,3.81,3.93
S1409,CHM,Female,Kano,Off-Campus,Tertiary,Yes,No,283,260,84,12,74,Medium,2.80,2.81,2.73,2.70
S1410,PHY,Female,Lagos,Off-Campus,Primary,No,No,254,256,80,20,79,Medium,2.56,2.54,2.34,2.28
S1411,CHM,Male,Kano,On-Campus,Tertiary,Yes,No,227,216,82,13,78,Medium,2.73,2.89,2.92,2.91
S1412,MTH,Female,Kano,Off-Campus,Secondary,Yes,No,339,203,89,11,88,Low,3.32,3.18,3.01,3.12
S1413,MTH,Male,Anambra,Off-Campus,Secondary,Yes,No,236,259,86,11,51,Medium,3.17,3.09,2.89,2.93
S1414,STA,Male,Lagos,On-Campus,Primary,Yes,No,297,256,79,6,51,Medium,2.80,2.83,2.86,2.77
S1415,PHY,Female,Lagos,On-Campus,Primary,Yes,No,279,274,83,17,70,High,3.14,2.90,3.00,2.89
S1416,CSC,Female,Lagos,On-Campus,Secondary,Yes,No,303,212,86,6,86,High,2.57,2.51,2.43,2.38
S1417,MTH,Male,Lagos,Off-Campus,Tertiary,No,No,340,223,64,9,59,Medium,2.74,2.79,2.80,2.63
S1418,STA,Female,Lagos,Off-Campus,Secondary,No,No,331,181,90,5,45,Medium,2.38,2.24,2.00,1.91
S1419,BIO,Male,Anambra,Off-Campus,Secondary,Yes,No,346,218,75,15,81,High,2.30,2.21,2.16,2.18
